objectid_1,objectid,crn,district,county,municipality,crash_year,crash_month,day_of_week,time_of_day,hour_of_day,illumination,weather,road_condition,collision_type,relation_to_road,work_zone_type,work_zone_loc,work_zone_ind,intersect_type,tcd_type,location_type,urban_rural,fatal_count,injury_count,person_count,total_units,sch_bus_ind,sch_zone_ind,latitude,longitude,arrival_tm,cons_zone_spd_lim,dispatch_tm,est_hrs_closed,lane_closed,ln_close_dir,ntfy_hiwy_maint,spec_juris_cd,tcd_func_cd,tfc_detour_ind,workers_pres,wz_close_detour,wz_flagger,wz_law_offcr_ind,wz_ln_closure,wz_moving,wz_other,wz_shlder_mdn,vehicle_count,automobile_count,motorcycle_count,bus_count,small_truck_count,heavy_truck_count,suv_count,van_count,bicycle_count,maj_inj_count,mod_inj_count,min_inj_count,tot_inj_count,unk_inj_deg_count,unk_inj_per_count,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,unbelted_occ_count,unb_death_count,unb_maj_inj_count,belted_death_count,belted_maj_inj_count,mcycle_death_count,mcycle_maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_count,ped_death_count,ped_maj_inj_count,max_severity_level,comm_veh_count,dec_lat,dec_long,rdwy_surf_type_cd,county_name
42068,482912,2015003333,6,67,67301,2014,12,2,31,0,3,1,0,8,1, , ,N,1,2,0,3,0,1,3,2,N,N,39 57:16.601,75 09:53.486,35, ,32,2,1,6,N, ,3,N, , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,39.9546,-75.1648, , 
42069,482939,2014067975,6,67,67301,2014,5,6,1810,18,1,1,0,8,1, , ,N,0,0,0,3,0,1,2,2,N,N,40 01:30.374,75 07:02.841,1818, ,1814, ,0, ,N, ,0, , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,40.0251,-75.1175, , 
42070,482969,2014112283,6,67,67301,2014,10,5,200,2,3,2,1,1,1, , ,N,1,2,0,3,0,0,2,2,N,N,40 05:18.096,75 02:38.680,217, ,212, ,0, , , ,3, , , , , , , , , ,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0884,-75.044, , 
42071,482971,2014130384,6,67,67301,2014,12,3,342,3,3,1,0,7,4, , ,N,0,0,0,3,0,0,1,1,N,N,40 00:42.256,75 10:32.773,346, ,343,2,1,2,N, ,0,N, , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0117,-75.1758, , 
42072,482978,2015010686,6,67,67301,2014,11,1,625,6,1,9,8,1,1, , ,N,1,2,0,3,0,4,5,2,N,N,40 01:41.669,75 09:43.637,816, ,644, ,0, ,N, ,3, , , , , , , , , ,2,1,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0282,-75.1621, , 
42073,482979,2015018982,6,67,67301,2014,7,5,2019,20,4,7,0,8,1, , ,N,0,0,0,3,0,1,2,2,N,N,39 58:20.568,75 14:07.501,2028, ,2025, ,0, , , ,0, , , , , , , , , ,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,39.9724,-75.2354, , 
42074,482983,2014074883,6,67,67301,2014,5,6,9999,99,3,1,0,4,1, , ,N,1,2,0,3,0,4,4,2,N,N,40 01:12.662,75 08:55.511,9999, ,9999,1,1,2,N, ,3,Y, , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0202,-75.1488, , 
42075,482990,2014078079,6,67,67301,2014,8,7,1435,14,1,1,0,1,1, , ,N,6,4,2,3,0,3,3,2,N,N,39 53:55.489,75 10:12.392,1507, ,1436,3,1,1,N, ,3,N, , , , , , , , ,2,1,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.8995,-75.1636, , 
42076,482992,2014078894,6,67,67301,2014,6,3,1400,14,1,1,0,4,1, , ,N,1,2,0,3,0,1,2,2,N,N,39 57:31.834,75 12:22.607,9999, ,1838, ,0, ,N, ,3, , , , , , , , , ,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9588,-75.2063, , 
42077,483005,2014092208,6,67,67301,2014,9,3,1533,15,1,1,0,1,1, , ,N,0,0,0,3,0,3,5,4,N,N,39 59:34.292,75 12:01.736,1548, ,1536,3,1,4,N, ,0,N, , , , , , , , ,4,2,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9929,-75.2005, , 
42078,483014,2014098721,6,67,67301,2014,9,6,849,8,1,1,0,4,1, , ,N,2,1,0,3,0,1,2,2,N,N,39 55:59.996,75 08:36.922,855, ,848, ,0, ,N, ,2, , , , , , , , , ,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9333,-75.1436, , 
42079,483028,2014106722,6,67,67301,2014,10,7,1350,13,1,1,0,4,1, , ,N,1,2,0,3,0,1,2,2,N,N,40 02:49.833,75 07:41.343,1535, ,1530, ,0, ,N, ,3, , , , , , , , , ,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0472,-75.1282, , 
42080,483036,2014103192,6,67,67301,2014,9,6,2032,20,3,1,0,1,1, , ,N,0,0,0,3,0,0,4,2,N,N,39 59:43.160,75 11:51.505,2040, ,2037,1,1,4,Y, ,0,N, , , , , , , , ,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9953,-75.1976, , 
