ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
13441,9711261,EWALD,STOEPEL,2016-06-01,1,6,2016,17,4,6,9,,4,0,,2,4,1,30,1,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.14048,42.39124,"{
  ""coordinates"": [
    -8.314047827699990e+01,
    4.239124378100010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.140478277,
    42.391243781
  ],
  ""type"": ""Point""
}",-83.1404782769999,42.3912437810001
13442,9721029,I-75,NEVADA,2016-06-01,1,6,2016,16,4,97,1,,1,0,,1,1,1,70,4,3,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.09282,42.42443,"{
  ""coordinates"": [
    -8.309281645199999e+01,
    4.242443180800010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.092816452,
    42.424431808
  ],
  ""type"": ""Point""
}",-83.092816452,42.4244318080001
13443,9716857,N/B M-10,CLAIRMOUNT,2016-06-01,1,6,2016,18,4,5,3,,1,0,,1,2,1,55,3,3,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.08936,42.37849,"{
  ""coordinates"": [
    -8.308935591999990e+01,
    4.237849397000010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.08935592,
    42.37849397
  ],
  ""type"": ""Point""
}",-83.0893559199999,42.3784939700001
13444,9712169,MACK,SAINT ANTOINE,2016-06-01,1,6,2016,7,4,5,9,,4,0,,1,1,1,0,3,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.05226,42.34962,"{
  ""coordinates"": [
    -8.305225957499989e+01,
    4.234962047200000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.052259575,
    42.349620472
  ],
  ""type"": ""Point""
}",-83.0522595749999,42.349620472
13445,9773750,15743 GRAYFIELD,MIDLAND,2016-06-01,1,6,2016,9,4,5,9,,,0,,1,1,1,25,2,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.26921,42.40451,"{
  ""coordinates"": [
    -8.326921087900000e+01,
    4.240450505800000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.269210879,
    42.404505058
  ],
  ""type"": ""Point""
}",-83.269210879,42.404505058
13446,9712189,MARSTON,WOODWARD,2016-06-01,1,6,2016,11,4,5,3,,,0,,1,1,1,25,2,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.07641,42.3749,"{
  ""coordinates"": [
    -8.307640471699990e+01,
    4.237490049800000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.076404717,
    42.374900498
  ],
  ""type"": ""Point""
}",-83.0764047169999,42.374900498
13447,9855343,GRAND RIVER,WARWICK,2016-06-01,1,6,2016,19,4,6,3,,1,0,,2,4,1,35,4,2,5,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.22842,42.40478,"{
  ""coordinates"": [
    -8.322841769999999e+01,
    4.240477631500000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.2284177,
    42.404776315
  ],
  ""type"": ""Point""
}",-83.2284177,42.404776315
13448,9711259,7 MILE,WARRINGTON,2016-06-01,1,6,2016,18,4,5,9,,2,0,,1,1,1,30,2,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.14013,42.43163,"{
  ""coordinates"": [
    -8.314012540100001e+01,
    4.243163091900000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.140125401,
    42.431630919
  ],
  ""type"": ""Point""
}",-83.140125401,42.431630919
13449,9761486,DAVISON,DAVISON,2016-06-01,1,6,2016,19,4,9,3,,1,0,,2,4,1,30,7,3,6,4,0,0,0,2,false,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.13861,42.38677,"{
  ""coordinates"": [
    -8.313861278099991e+01,
    4.238677338100010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.138612781,
    42.386773381
  ],
  ""type"": ""Point""
}",-83.1386127809999,42.3867733810001
13450,9721018,RAMP 212C,W I 94,2016-06-01,1,6,2016,6,4,1,1,,1,1,,1,1,1,55,1,1,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.1238,42.33791,"{
  ""coordinates"": [
    -8.312380173799990e+01,
    4.233790924500000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.123801738,
    42.337909245
  ],
  ""type"": ""Point""
}",-83.1238017379999,42.337909245
