intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
4235,42.363991999999996,-83.002692,42.36387365028605,-83.00260429108236,332.55664932096363,25,residential,0,False,False,False,False,False,4,,,2,0
4236,42.365002000000004,-83.004681,42.3648829470505,-83.00459503794296,333.1837912827598,65,secondary,1,False,False,False,False,False,4,,,2,3
4236,42.365002000000004,-83.004681,42.36506539535425,-83.00452020760892,243.3534849725532,25,residential,0,False,False,False,False,False,4,,,2,3
4236,42.365002000000004,-83.004681,42.364937138012266,-83.00484072505722,62.646530870929496,25,residential,0,False,False,False,False,False,4,,,2,3
4236,42.365002000000004,-83.004681,42.36512108107223,-83.00476689134287,153.20914410126557,65,secondary,1,False,False,False,False,False,4,,,2,3
4237,42.365384000000006,-83.003713,42.3652653833353,-83.0036259475286,332.7934672710915,25,residential,0,False,False,False,False,False,4,,,2,1
4237,42.365384000000006,-83.003713,42.365320532502615,-83.00387374149854,63.31828494803676,25,residential,0,False,False,False,False,False,4,,,2,1
4237,42.365384000000006,-83.003713,42.36544774233382,-83.00355245620186,243.18599608892842,25,residential,0,False,False,False,False,False,4,,,2,1
4237,42.365384000000006,-83.003713,42.36550312592565,-83.00379877879823,153.24884648252237,25,residential,0,False,False,False,False,False,4,,,2,1
4238,42.364630999999996,-83.005615,42.36451231666174,-83.00552811417315,332.8540154650009,25,residential,0,False,False,False,False,False,4,,,2,0
4238,42.364630999999996,-83.005615,42.36469365947448,-83.00545368496991,243.70711392450917,25,residential,0,False,False,False,False,False,4,,,2,0
4238,42.364630999999996,-83.005615,42.36456935920721,-83.00577702692689,64.19403351793744,25,residential,0,False,False,False,False,False,4,,,2,0
4238,42.364630999999996,-83.005615,42.364749347734715,-83.00570271441084,152.55707357846927,25,residential,0,False,False,False,False,False,4,,,2,0
4239,42.366978,-83.006106,42.36685895264903,-83.00602002143064,333.1798575949099,65,secondary,1,False,False,False,True,False,4,,,2,31
