intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
9578,39.9405007,-75.1531849,39.940368400505164,-75.15322075831567,11.883053588192865,25,residential,0,False,False,False,False,False,3,,,,0
9579,39.941346999999986,-75.1541095,39.94132560895297,-75.15393613680506,279.2058732921877,25,tertiary,0,False,False,False,False,False,4,,,,0
9579,39.941346999999986,-75.1541095,39.94147974737845,-75.15407655324806,190.91453434802884,25,tertiary,0,False,False,False,False,False,4,,,,0
9579,39.941346999999986,-75.1541095,39.94136831195787,-75.15428287968716,99.17202859240712,25,tertiary,0,False,False,False,False,False,4,,,,0
9579,39.941346999999986,-75.1541095,39.94121347666756,-75.15413664351323,8.99235438449415,25,tertiary,0,False,False,False,False,False,4,,,,0
9580,39.94178059999999,-75.1540078,39.94164736948828,-75.15403727218923,9.762225502438014,25,tertiary,0,False,False,False,False,False,4,,,,0
9580,39.94178059999999,-75.1540078,39.94191396310103,-75.15397935790418,189.42137319166403,25,tertiary,0,False,False,False,False,False,4,,,,0
9580,39.94178059999999,-75.1540078,39.941758635102346,-75.15383455686248,279.4522840319291,25,residential,0,False,False,False,False,False,4,,,,0
9580,39.94178059999999,-75.1540078,39.94180275146102,-75.15418100309562,99.53256356993819,25,residential,0,False,False,False,False,False,4,,,,0
9581,39.94154029999999,-75.1556825,39.94156051581508,-75.15585610158435,98.70274696382751,25,tertiary,0,False,False,False,False,False,4,,,,0
9581,39.94154029999999,-75.1556825,39.94151909088042,-75.15550909860343,279.1287803471369,25,tertiary,0,False,False,False,False,False,4,,,,0
9581,39.94154029999999,-75.1556825,39.94140686803605,-75.15571039151705,9.240489823187204,25,residential,0,False,False,False,False,False,4,,,1,0
9581,39.94154029999999,-75.1556825,39.94167333891616,-75.15565160162862,190.2357360083056,25,residential,0,False,False,False,False,False,4,,,1,0
9582,39.9409349,-75.1558205,39.941067355956214,-75.15578563000685,191.55535714787905,25,residential,0,False,False,False,False,False,3,,,1,0
9582,39.9409349,-75.1558205,39.94080174895688,-75.15585057194679,9.962104375123545,25,residential,0,False,False,False,False,False,3,,,1,0
9582,39.9409349,-75.1558205,39.940908014590164,-75.15564843385069,281.57454621013426,25,residential,0,False,False,False,False,False,3,,,,0
9583,39.94093049999999,-75.1563193,39.941063888978576,-75.15629106372364,189.3549147950722,25,residential,0,False,False,False,False,False,3,,,,0
9583,39.94093049999999,-75.1563193,39.94095275684799,-75.15649247813782,99.57933909588138,25,residential,0,False,False,False,False,False,3,,,,0
9583,39.94093049999999,-75.1563193,39.94079735781166,-75.15634943802746,9.984313782510355,25,residential,0,False,False,False,False,False,3,,,,0
9584,39.941736999999996,-75.157252,39.941870324887205,-75.15722325722354,189.5229105004982,25,residential,0,False,False,False,False,False,4,,,1,0
9584,39.941736999999996,-75.157252,39.941715889627204,-75.1570785777785,279.08740285451734,25,tertiary,0,False,False,False,False,False,4,,,,0
9584,39.941736999999996,-75.157252,39.94175922136574,-75.15742518785581,99.56469065113777,25,tertiary,0,False,False,False,False,False,4,,,,0
